,VaR
2021-11-19,0.007015764312012024
2021-11-22,0.007063390777393421
2021-11-23,0.006486039567164863
2021-11-24,0.006449588544642683
2021-11-26,0.006485337705312161
2021-11-29,0.005633963986169421
2021-11-30,
2021-12-01,0.014697990421829846
2021-12-02,0.014394375382586939
2021-12-03,0.00966416657353563
2021-12-06,0.00786812364115291
2021-12-07,0.00624818133665299
2021-12-08,0.006267107172670688
2021-12-09,0.005497928271857151
2021-12-10,0.006225238225142638
2021-12-13,0.0062218502934212
2021-12-14,0.006953620871614898
2021-12-15,0.007250842343902786
2021-12-16,0.006454017901106005
2021-12-17,0.005890777060441496
2021-12-20,0.005795738419765279
2021-12-21,0.005095261985423438
2021-12-22,0.00530551673178774
2021-12-23,0.0053441317365432285
2021-12-27,0.005923368431549949
2021-12-28,0.007090870837879397
2021-12-29,0.0071815306883310824
2021-12-30,0.007178895896125691
2021-12-31,
2022-01-03,0.012147787288899673
2022-01-04,0.0062868386027580886
2022-01-05,0.008610014277597465
2022-01-06,0.009734573554742717
2022-01-07,0.007015736815214338
2022-01-10,0.005591629750828345
2022-01-11,0.006214411451510872
2022-01-12,0.005448198905486047
2022-01-13,0.005463341964159373
2022-01-14,0.005390077420322594
2022-01-18,0.004503276963862067
2022-01-19,0.004530201583674535
2022-01-20,0.004495426071155023
2022-01-21,0.004400809562993825
2022-01-24,0.0033589768306919753
2022-01-25,0.003172022474398238
2022-01-26,0.0032848199443404843
2022-01-27,0.00328193646864229
2022-01-28,0.0033355080169312572
2022-01-31,
2022-02-01,0.012153019868118892
2022-02-02,0.012351171767835088
2022-02-03,0.011918319737400292
2022-02-04,0.011799637052177377
2022-02-07,0.010908575456996743
2022-02-08,0.009940640011410026
2022-02-09,0.009938468942004793
2022-02-10,0.009925911850135184
2022-02-11,0.00987987364170844
2022-02-14,0.008882987400768337
2022-02-15,0.00901836102052641
2022-02-16,0.008991140401365103
2022-02-17,0.008201173622053724
2022-02-18,0.007448919095582711
2022-02-22,0.008207279628282936
2022-02-23,0.008233369827317658
2022-02-24,0.008200523618763469
2022-02-25,0.008178348378918586
2022-02-28,
2022-03-01,0.009898412270803916
2022-03-02,0.005660584241759931
2022-03-03,0.005654333466957454
2022-03-04,0.004757042001273453
2022-03-07,0.00617033905756196
2022-03-08,0.007359095634340446
2022-03-09,0.006002867687120954
2022-03-10,0.006588415470327087
2022-03-11,0.006589142985494557
2022-03-14,0.006510002288309009
2022-03-15,0.006512526816423665
2022-03-16,0.00607061650019772
2022-03-17,0.0059944868739194015
2022-03-18,0.005989339504467508
2022-03-21,0.005839465835151108
2022-03-22,0.005592859724790842
2022-03-23,0.0059784719608329435
2022-03-24,0.006024846167922745
2022-03-25,0.0061589911681482375
2022-03-28,0.00545459908894374
2022-03-29,0.005838757230043276
2022-03-30,0.005926048223123514
2022-03-31,
2022-04-01,0.016211596220965827
2022-04-04,0.016127265907439754
2022-04-05,0.01090081281114894
2022-04-06,0.008397264155143776
2022-04-07,0.007875169883045785
2022-04-08,0.008330132841352918
2022-04-11,0.00834980515148969
2022-04-12,0.008190053267938435
2022-04-13,0.008555447431633716
2022-04-14,0.007678351197866227
2022-04-18,0.008106714688373392
2022-04-19,0.007020832641690504
2022-04-20,0.00791045489668187
2022-04-21,0.00984864183199895
2022-04-22,0.00802140632142089
2022-04-25,0.006929949673441433
2022-04-26,0.007057768599498449
2022-04-27,0.007816029148825034
2022-04-28,0.0077668692079294575
2022-04-29,
2022-05-02,0.014735705220287498
2022-05-03,0.01476854591700751
2022-05-04,0.011104630219364893
2022-05-05,0.007743604199374458
2022-05-06,0.006014022221620976
2022-05-09,0.006045093803733497
